algorithm,scenario_id,interference_seed,interference_activity_ids,interference_rate,makespan,budget_used,budget_limit,deadline_limit,budget_violation,deadline_violation,feasible,interference_time,interference_pairs,algorithm_milliseconds,machine_distribution,machine_utilization
heft_classic,hybrid_hetero,24,maddid0000037|maddid0000056|mbackgroundid0000032|mbackgroundid0000034|mbackgroundid0000035|mbgmodelid0000012|mbgmodelid0000050|mconcatfitid0000011|mconcatfitid0000049|mdifffitid0000006|mdifffitid0000007|mdifffitid0000008|mdifffitid0000009|mdifffitid0000010|mdifffitid0000024|mdifffitid0000025|mdifffitid0000028|mdifffitid0000045|mdifffitid0000046|mdifffitid0000047|mimgtblid0000017|mprojectid0000003|mprojectid0000004|mprojectid0000021|mprojectid0000022|mprojectid0000039|mprojectid0000041|mviewerid0000019|mviewerid0000038,0.2,286.367000,1.048103,1.011473,344.126167,0.036600,0.000000,false,0.000000,0,0.529000,"{""bora011"":15,""diablo03"":14,""h3-standard-88-2"":13,""h4d-standard-192-7"":16}","{""bora011"":0.02018,""diablo03"":0.010975,""h3-standard-88-2"":0.008461,""h4d-standard-192-7"":0.003516}"
heft_classic,cluster_homo,25,maddid0000037|maddid0000056|mbackgroundid0000013|mbackgroundid0000015|mbackgroundid0000054|mbgmodelid0000012|mbgmodelid0000031|mbgmodelid0000050|mconcatfitid0000011|mdifffitid0000006|mdifffitid0000026|mdifffitid0000027|mdifffitid0000028|mdifffitid0000029|mdifffitid0000043|mdifffitid0000046|mdifffitid0000047|mdifffitid0000048|mimgtblid0000017|mimgtblid0000036|mimgtblid0000055|mprojectid0000001|mprojectid0000002|mprojectid0000004|mprojectid0000020|mprojectid0000021|mprojectid0000042|mviewerid0000019|mviewerid0000038,0.2,538.100000,0.000000,1.011473,344.126167,0.000000,193.974000,false,0.000000,0,0.444000,"{""bora001"":14,""bora002"":16,""bora003"":14,""bora004"":14}","{""bora001"":0.023954,""bora002"":0.024188,""bora003"":0.023771,""bora004"":0.024001}"
heft_classic,cluster_hetero,25,maddid0000037|maddid0000056|mbackgroundid0000013|mbackgroundid0000015|mbackgroundid0000054|mbgmodelid0000012|mbgmodelid0000031|mbgmodelid0000050|mconcatfitid0000011|mdifffitid0000006|mdifffitid0000026|mdifffitid0000027|mdifffitid0000028|mdifffitid0000029|mdifffitid0000043|mdifffitid0000046|mdifffitid0000047|mdifffitid0000048|mimgtblid0000017|mimgtblid0000036|mimgtblid0000055|mprojectid0000001|mprojectid0000002|mprojectid0000004|mprojectid0000020|mprojectid0000021|mprojectid0000042|mviewerid0000019|mviewerid0000038,0.2,591.999000,0.000000,1.011473,344.126167,0.000000,247.873000,false,0.000000,0,0.422000,"{""bora005"":15,""bora006"":16,""diablo01"":12,""diablo02"":15}","{""bora005"":0.02398,""bora006"":0.023905,""diablo01"":0.013673,""diablo02"":0.013849}"
heft_classic,cloud_homo,25,maddid0000037|maddid0000056|mbackgroundid0000013|mbackgroundid0000015|mbackgroundid0000054|mbgmodelid0000012|mbgmodelid0000031|mbgmodelid0000050|mconcatfitid0000011|mdifffitid0000006|mdifffitid0000026|mdifffitid0000027|mdifffitid0000028|mdifffitid0000029|mdifffitid0000043|mdifffitid0000046|mdifffitid0000047|mdifffitid0000048|mimgtblid0000017|mimgtblid0000036|mimgtblid0000055|mprojectid0000001|mprojectid0000002|mprojectid0000004|mprojectid0000020|mprojectid0000021|mprojectid0000042|mviewerid0000019|mviewerid0000038,0.2,183.590000,1.910549,1.011473,344.126167,0.899100,0.000000,false,0.000000,0,0.695000,"{""h4d-standard-192-1"":14,""h4d-standard-192-2"":15,""h4d-standard-192-3"":15,""h4d-standard-192-4"":14}","{""h4d-standard-192-1"":0.002813,""h4d-standard-192-2"":0.002861,""h4d-standard-192-3"":0.002966,""h4d-standard-192-4"":0.002918}"
heft_classic,cloud_hetero,25,maddid0000037|maddid0000056|mbackgroundid0000013|mbackgroundid0000015|mbackgroundid0000054|mbgmodelid0000012|mbgmodelid0000031|mbgmodelid0000050|mconcatfitid0000011|mdifffitid0000006|mdifffitid0000026|mdifffitid0000027|mdifffitid0000028|mdifffitid0000029|mdifffitid0000043|mdifffitid0000046|mdifffitid0000047|mdifffitid0000048|mimgtblid0000017|mimgtblid0000036|mimgtblid0000055|mprojectid0000001|mprojectid0000002|mprojectid0000004|mprojectid0000020|mprojectid0000021|mprojectid0000042|mviewerid0000019|mviewerid0000038,0.2,214.517000,1.950512,1.011473,344.126167,0.939000,0.000000,false,0.000000,0,0.665000,"{""h3-standard-88-1"":13,""h3-standard-88-2"":13,""h4d-highmem-192-1"":16,""h4d-standard-192-1"":16}","{""h3-standard-88-1"":0.006905,""h3-standard-88-2"":0.00684,""h4d-highmem-192-1"":0.00313,""h4d-standard-192-1"":0.003265}"
heft_classic,hybrid_homo,25,maddid0000037|maddid0000056|mbackgroundid0000013|mbackgroundid0000015|mbackgroundid0000054|mbgmodelid0000012|mbgmodelid0000031|mbgmodelid0000050|mconcatfitid0000011|mdifffitid0000006|mdifffitid0000026|mdifffitid0000027|mdifffitid0000028|mdifffitid0000029|mdifffitid0000043|mdifffitid0000046|mdifffitid0000047|mdifffitid0000048|mimgtblid0000017|mimgtblid0000036|mimgtblid0000055|mprojectid0000001|mprojectid0000002|mprojectid0000004|mprojectid0000020|mprojectid0000021|mprojectid0000042|mviewerid0000019|mviewerid0000038,0.2,250.184000,1.159671,1.011473,344.126167,0.148200,0.000000,false,0.000000,0,0.831000,"{""bora009"":15,""bora010"":12,""h4d-standard-192-5"":15,""h4d-standard-192-6"":16}","{""bora009"":0.01834,""bora010"":0.021421,""h4d-standard-192-5"":0.003269,""h4d-standard-192-6"":0.003307}"
heft_classic,hybrid_hetero,25,maddid0000037|maddid0000056|mbackgroundid0000013|mbackgroundid0000015|mbackgroundid0000054|mbgmodelid0000012|mbgmodelid0000031|mbgmodelid0000050|mconcatfitid0000011|mdifffitid0000006|mdifffitid0000026|mdifffitid0000027|mdifffitid0000028|mdifffitid0000029|mdifffitid0000043|mdifffitid0000046|mdifffitid0000047|mdifffitid0000048|mimgtblid0000017|mimgtblid0000036|mimgtblid0000055|mprojectid0000001|mprojectid0000002|mprojectid0000004|mprojectid0000020|mprojectid0000021|mprojectid0000042|mviewerid0000019|mviewerid0000038,0.2,286.367000,1.048103,1.011473,344.126167,0.036600,0.000000,false,0.000000,0,0.787000,"{""bora011"":15,""diablo03"":14,""h3-standard-88-2"":13,""h4d-standard-192-7"":16}","{""bora011"":0.02018,""diablo03"":0.010975,""h3-standard-88-2"":0.008461,""h4d-standard-192-7"":0.003516}"
heft_classic,cluster_homo,26,maddid0000018|maddid0000037|mbackgroundid0000015|mbackgroundid0000016|mbackgroundid0000032|mbackgroundid0000033|mbackgroundid0000034|mbackgroundid0000051|mbackgroundid0000052|mbackgroundid0000053|mbgmodelid0000012|mconcatfitid0000011|mconcatfitid0000030|mdifffitid0000006|mdifffitid0000007|mdifffitid0000009|mdifffitid0000025|mdifffitid0000026|mdifffitid0000029|mdifffitid0000044|mdifffitid0000045|mdifffitid0000046|mimgtblid0000017|mprojectid0000002|mprojectid0000003|mprojectid0000022|mprojectid0000041|mviewerid0000038|mviewerid0000058,0.2,538.100000,0.000000,1.011473,344.126167,0.000000,193.974000,false,0.000000,0,0.734000,"{""bora001"":14,""bora002"":16,""bora003"":14,""bora004"":14}","{""bora001"":0.023954,""bora002"":0.024188,""bora003"":0.023771,""bora004"":0.024001}"
heft_classic,cluster_hetero,26,maddid0000018|maddid0000037|mbackgroundid0000015|mbackgroundid0000016|mbackgroundid0000032|mbackgroundid0000033|mbackgroundid0000034|mbackgroundid0000051|mbackgroundid0000052|mbackgroundid0000053|mbgmodelid0000012|mconcatfitid0000011|mconcatfitid0000030|mdifffitid0000006|mdifffitid0000007|mdifffitid0000009|mdifffitid0000025|mdifffitid0000026|mdifffitid0000029|mdifffitid0000044|mdifffitid0000045|mdifffitid0000046|mimgtblid0000017|mprojectid0000002|mprojectid0000003|mprojectid0000022|mprojectid0000041|mviewerid0000038|mviewerid0000058,0.2,591.999000,0.000000,1.011473,344.126167,0.000000,247.873000,false,0.000000,0,0.383000,"{""bora005"":15,""bora006"":16,""diablo01"":12,""diablo02"":15}","{""bora005"":0.02398,""bora006"":0.023905,""diablo01"":0.013673,""diablo02"":0.013849}"
heft_classic,cloud_homo,26,maddid0000018|maddid0000037|mbackgroundid0000015|mbackgroundid0000016|mbackgroundid0000032|mbackgroundid0000033|mbackgroundid0000034|mbackgroundid0000051|mbackgroundid0000052|mbackgroundid0000053|mbgmodelid0000012|mconcatfitid0000011|mconcatfitid0000030|mdifffitid0000006|mdifffitid0000007|mdifffitid0000009|mdifffitid0000025|mdifffitid0000026|mdifffitid0000029|mdifffitid0000044|mdifffitid0000045|mdifffitid0000046|mimgtblid0000017|mprojectid0000002|mprojectid0000003|mprojectid0000022|mprojectid0000041|mviewerid0000038|mviewerid0000058,0.2,183.590000,1.910549,1.011473,344.126167,0.899100,0.000000,false,0.000000,0,0.900000,"{""h4d-standard-192-1"":14,""h4d-standard-192-2"":15,""h4d-standard-192-3"":15,""h4d-standard-192-4"":14}","{""h4d-standard-192-1"":0.002813,""h4d-standard-192-2"":0.002861,""h4d-standard-192-3"":0.002966,""h4d-standard-192-4"":0.002918}"
heft_classic,cloud_hetero,26,maddid0000018|maddid0000037|mbackgroundid0000015|mbackgroundid0000016|mbackgroundid0000032|mbackgroundid0000033|mbackgroundid0000034|mbackgroundid0000051|mbackgroundid0000052|mbackgroundid0000053|mbgmodelid0000012|mconcatfitid0000011|mconcatfitid0000030|mdifffitid0000006|mdifffitid0000007|mdifffitid0000009|mdifffitid0000025|mdifffitid0000026|mdifffitid0000029|mdifffitid0000044|mdifffitid0000045|mdifffitid0000046|mimgtblid0000017|mprojectid0000002|mprojectid0000003|mprojectid0000022|mprojectid0000041|mviewerid0000038|mviewerid0000058,0.2,214.517000,1.950512,1.011473,344.126167,0.939000,0.000000,false,0.000000,0,0.970000,"{""h3-standard-88-1"":13,""h3-standard-88-2"":13,""h4d-highmem-192-1"":16,""h4d-standard-192-1"":16}","{""h3-standard-88-1"":0.006905,""h3-standard-88-2"":0.00684,""h4d-highmem-192-1"":0.00313,""h4d-standard-192-1"":0.003265}"
heft_classic,hybrid_homo,26,maddid0000018|maddid0000037|mbackgroundid0000015|mbackgroundid0000016|mbackgroundid0000032|mbackgroundid0000033|mbackgroundid0000034|mbackgroundid0000051|mbackgroundid0000052|mbackgroundid0000053|mbgmodelid0000012|mconcatfitid0000011|mconcatfitid0000030|mdifffitid0000006|mdifffitid0000007|mdifffitid0000009|mdifffitid0000025|mdifffitid0000026|mdifffitid0000029|mdifffitid0000044|mdifffitid0000045|mdifffitid0000046|mimgtblid0000017|mprojectid0000002|mprojectid0000003|mprojectid0000022|mprojectid0000041|mviewerid0000038|mviewerid0000058,0.2,250.184000,1.159671,1.011473,344.126167,0.148200,0.000000,false,0.000000,0,0.906000,"{""bora009"":15,""bora010"":12,""h4d-standard-192-5"":15,""h4d-standard-192-6"":16}","{""bora009"":0.01834,""bora010"":0.021421,""h4d-standard-192-5"":0.003269,""h4d-standard-192-6"":0.003307}"
heft_classic,hybrid_hetero,26,maddid0000018|maddid0000037|mbackgroundid0000015|mbackgroundid0000016|mbackgroundid0000032|mbackgroundid0000033|mbackgroundid0000034|mbackgroundid0000051|mbackgroundid0000052|mbackgroundid0000053|mbgmodelid0000012|mconcatfitid0000011|mconcatfitid0000030|mdifffitid0000006|mdifffitid0000007|mdifffitid0000009|mdifffitid0000025|mdifffitid0000026|mdifffitid0000029|mdifffitid0000044|mdifffitid0000045|mdifffitid0000046|mimgtblid0000017|mprojectid0000002|mprojectid0000003|mprojectid0000022|mprojectid0000041|mviewerid0000038|mviewerid0000058,0.2,286.367000,1.048103,1.011473,344.126167,0.036600,0.000000,false,0.000000,0,0.802000,"{""bora011"":15,""diablo03"":14,""h3-standard-88-2"":13,""h4d-standard-192-7"":16}","{""bora011"":0.02018,""diablo03"":0.010975,""h3-standard-88-2"":0.008461,""h4d-standard-192-7"":0.003516}"
heft_classic,cluster_homo,27,maddid0000037|mbackgroundid0000013|mbackgroundid0000033|mbackgroundid0000034|mbackgroundid0000035|mbackgroundid0000052|mbgmodelid0000012|mbgmodelid0000050|mdifffitid0000005|mdifffitid0000006|mdifffitid0000007|mdifffitid0000009|mdifffitid0000010|mdifffitid0000024|mdifffitid0000026|mdifffitid0000027|mdifffitid0000028|mdifffitid0000048|mimgtblid0000017|mimgtblid0000036|mprojectid0000002|mprojectid0000003|mprojectid0000020|mprojectid0000021|mprojectid0000039|mprojectid0000041|mviewerid0000038|mviewerid0000057|mviewerid0000058,0.2,538.100000,0.000000,1.011473,344.126167,0.000000,193.974000,false,0.000000,0,0.408000,"{""bora001"":14,""bora002"":16,""bora003"":14,""bora004"":14}","{""bora001"":0.023954,""bora002"":0.024188,""bora003"":0.023771,""bora004"":0.024001}"
heft_classic,cluster_hetero,27,maddid0000037|mbackgroundid0000013|mbackgroundid0000033|mbackgroundid0000034|mbackgroundid0000035|mbackgroundid0000052|mbgmodelid0000012|mbgmodelid0000050|mdifffitid0000005|mdifffitid0000006|mdifffitid0000007|mdifffitid0000009|mdifffitid0000010|mdifffitid0000024|mdifffitid0000026|mdifffitid0000027|mdifffitid0000028|mdifffitid0000048|mimgtblid0000017|mimgtblid0000036|mprojectid0000002|mprojectid0000003|mprojectid0000020|mprojectid0000021|mprojectid0000039|mprojectid0000041|mviewerid0000038|mviewerid0000057|mviewerid0000058,0.2,591.999000,0.000000,1.011473,344.126167,0.000000,247.873000,false,0.000000,0,0.686000,"{""bora005"":15,""bora006"":16,""diablo01"":12,""diablo02"":15}","{""bora005"":0.02398,""bora006"":0.023905,""diablo01"":0.013673,""diablo02"":0.013849}"
heft_classic,cloud_homo,27,maddid0000037|mbackgroundid0000013|mbackgroundid0000033|mbackgroundid0000034|mbackgroundid0000035|mbackgroundid0000052|mbgmodelid0000012|mbgmodelid0000050|mdifffitid0000005|mdifffitid0000006|mdifffitid0000007|mdifffitid0000009|mdifffitid0000010|mdifffitid0000024|mdifffitid0000026|mdifffitid0000027|mdifffitid0000028|mdifffitid0000048|mimgtblid0000017|mimgtblid0000036|mprojectid0000002|mprojectid0000003|mprojectid0000020|mprojectid0000021|mprojectid0000039|mprojectid0000041|mviewerid0000038|mviewerid0000057|mviewerid0000058,0.2,183.590000,1.910549,1.011473,344.126167,0.899100,0.000000,false,0.000000,0,0.881000,"{""h4d-standard-192-1"":14,""h4d-standard-192-2"":15,""h4d-standard-192-3"":15,""h4d-standard-192-4"":14}","{""h4d-standard-192-1"":0.002813,""h4d-standard-192-2"":0.002861,""h4d-standard-192-3"":0.002966,""h4d-standard-192-4"":0.002918}"
heft_classic,cloud_hetero,27,maddid0000037|mbackgroundid0000013|mbackgroundid0000033|mbackgroundid0000034|mbackgroundid0000035|mbackgroundid0000052|mbgmodelid0000012|mbgmodelid0000050|mdifffitid0000005|mdifffitid0000006|mdifffitid0000007|mdifffitid0000009|mdifffitid0000010|mdifffitid0000024|mdifffitid0000026|mdifffitid0000027|mdifffitid0000028|mdifffitid0000048|mimgtblid0000017|mimgtblid0000036|mprojectid0000002|mprojectid0000003|mprojectid0000020|mprojectid0000021|mprojectid0000039|mprojectid0000041|mviewerid0000038|mviewerid0000057|mviewerid0000058,0.2,214.517000,1.950512,1.011473,344.126167,0.939000,0.000000,false,0.000000,0,0.922000,"{""h3-standard-88-1"":13,""h3-standard-88-2"":13,""h4d-highmem-192-1"":16,""h4d-standard-192-1"":16}","{""h3-standard-88-1"":0.006905,""h3-standard-88-2"":0.00684,""h4d-highmem-192-1"":0.00313,""h4d-standard-192-1"":0.003265}"
heft_classic,hybrid_homo,27,maddid0000037|mbackgroundid0000013|mbackgroundid0000033|mbackgroundid0000034|mbackgroundid0000035|mbackgroundid0000052|mbgmodelid0000012|mbgmodelid0000050|mdifffitid0000005|mdifffitid0000006|mdifffitid0000007|mdifffitid0000009|mdifffitid0000010|mdifffitid0000024|mdifffitid0000026|mdifffitid0000027|mdifffitid0000028|mdifffitid0000048|mimgtblid0000017|mimgtblid0000036|mprojectid0000002|mprojectid0000003|mprojectid0000020|mprojectid0000021|mprojectid0000039|mprojectid0000041|mviewerid0000038|mviewerid0000057|mviewerid0000058,0.2,250.184000,1.159671,1.011473,344.126167,0.148200,0.000000,false,0.000000,0,1.912000,"{""bora009"":15,""bora010"":12,""h4d-standard-192-5"":15,""h4d-standard-192-6"":16}","{""bora009"":0.01834,""bora010"":0.021421,""h4d-standard-192-5"":0.003269,""h4d-standard-192-6"":0.003307}"
heft_classic,hybrid_hetero,27,maddid0000037|mbackgroundid0000013|mbackgroundid0000033|mbackgroundid0000034|mbackgroundid0000035|mbackgroundid0000052|mbgmodelid0000012|mbgmodelid0000050|mdifffitid0000005|mdifffitid0000006|mdifffitid0000007|mdifffitid0000009|mdifffitid0000010|mdifffitid0000024|mdifffitid0000026|mdifffitid0000027|mdifffitid0000028|mdifffitid0000048|mimgtblid0000017|mimgtblid0000036|mprojectid0000002|mprojectid0000003|mprojectid0000020|mprojectid0000021|mprojectid0000039|mprojectid0000041|mviewerid0000038|mviewerid0000057|mviewerid0000058,0.2,286.367000,1.048103,1.011473,344.126167,0.036600,0.000000,false,0.000000,0,0.782000,"{""bora011"":15,""diablo03"":14,""h3-standard-88-2"":13,""h4d-standard-192-7"":16}","{""bora011"":0.02018,""diablo03"":0.010975,""h3-standard-88-2"":0.008461,""h4d-standard-192-7"":0.003516}"
heft_classic,cluster_homo,28,maddid0000037|maddid0000056|mbackgroundid0000013|mbackgroundid0000014|mbackgroundid0000015|mbackgroundid0000016|mbackgroundid0000032|mbackgroundid0000035|mbackgroundid0000053|mbackgroundid0000054|mbgmodelid0000012|mbgmodelid0000050|mconcatfitid0000030|mdifffitid0000005|mdifffitid0000009|mdifffitid0000010|mdifffitid0000024|mdifffitid0000028|mdifffitid0000044|mdifffitid0000046|mimgtblid0000036|mprojectid0000001|mprojectid0000002|mprojectid0000004|mprojectid0000040|mprojectid0000041|mprojectid0000042|mviewerid0000019|mviewerid0000057,0.2,538.100000,0.000000,1.011473,344.126167,0.000000,193.974000,false,0.000000,0,0.777000,"{""bora001"":14,""bora002"":16,""bora003"":14,""bora004"":14}","{""bora001"":0.023954,""bora002"":0.024188,""bora003"":0.023771,""bora004"":0.024001}"
heft_classic,cluster_hetero,28,maddid0000037|maddid0000056|mbackgroundid0000013|mbackgroundid0000014|mbackgroundid0000015|mbackgroundid0000016|mbackgroundid0000032|mbackgroundid0000035|mbackgroundid0000053|mbackgroundid0000054|mbgmodelid0000012|mbgmodelid0000050|mconcatfitid0000030|mdifffitid0000005|mdifffitid0000009|mdifffitid0000010|mdifffitid0000024|mdifffitid0000028|mdifffitid0000044|mdifffitid0000046|mimgtblid0000036|mprojectid0000001|mprojectid0000002|mprojectid0000004|mprojectid0000040|mprojectid0000041|mprojectid0000042|mviewerid0000019|mviewerid0000057,0.2,591.999000,0.000000,1.011473,344.126167,0.000000,247.873000,false,0.000000,0,2.007000,"{""bora005"":15,""bora006"":16,""diablo01"":12,""diablo02"":15}","{""bora005"":0.02398,""bora006"":0.023905,""diablo01"":0.013673,""diablo02"":0.013849}"
heft_classic,cloud_homo,28,maddid0000037|maddid0000056|mbackgroundid0000013|mbackgroundid0000014|mbackgroundid0000015|mbackgroundid0000016|mbackgroundid0000032|mbackgroundid0000035|mbackgroundid0000053|mbackgroundid0000054|mbgmodelid0000012|mbgmodelid0000050|mconcatfitid0000030|mdifffitid0000005|mdifffitid0000009|mdifffitid0000010|mdifffitid0000024|mdifffitid0000028|mdifffitid0000044|mdifffitid0000046|mimgtblid0000036|mprojectid0000001|mprojectid0000002|mprojectid0000004|mprojectid0000040|mprojectid0000041|mprojectid0000042|mviewerid0000019|mviewerid0000057,0.2,183.590000,1.910549,1.011473,344.126167,0.899100,0.000000,false,0.000000,0,0.781000,"{""h4d-standard-192-1"":14,""h4d-standard-192-2"":15,""h4d-standard-192-3"":15,""h4d-standard-192-4"":14}","{""h4d-standard-192-1"":0.002813,""h4d-standard-192-2"":0.002861,""h4d-standard-192-3"":0.002966,""h4d-standard-192-4"":0.002918}"
heft_classic,cloud_hetero,28,maddid0000037|maddid0000056|mbackgroundid0000013|mbackgroundid0000014|mbackgroundid0000015|mbackgroundid0000016|mbackgroundid0000032|mbackgroundid0000035|mbackgroundid0000053|mbackgroundid0000054|mbgmodelid0000012|mbgmodelid0000050|mconcatfitid0000030|mdifffitid0000005|mdifffitid0000009|mdifffitid0000010|mdifffitid0000024|mdifffitid0000028|mdifffitid0000044|mdifffitid0000046|mimgtblid0000036|mprojectid0000001|mprojectid0000002|mprojectid0000004|mprojectid0000040|mprojectid0000041|mprojectid0000042|mviewerid0000019|mviewerid0000057,0.2,214.517000,1.950512,1.011473,344.126167,0.939000,0.000000,false,0.000000,0,0.731000,"{""h3-standard-88-1"":13,""h3-standard-88-2"":13,""h4d-highmem-192-1"":16,""h4d-standard-192-1"":16}","{""h3-standard-88-1"":0.006905,""h3-standard-88-2"":0.00684,""h4d-highmem-192-1"":0.00313,""h4d-standard-192-1"":0.003265}"
heft_classic,hybrid_homo,28,maddid0000037|maddid0000056|mbackgroundid0000013|mbackgroundid0000014|mbackgroundid0000015|mbackgroundid0000016|mbackgroundid0000032|mbackgroundid0000035|mbackgroundid0000053|mbackgroundid0000054|mbgmodelid0000012|mbgmodelid0000050|mconcatfitid0000030|mdifffitid0000005|mdifffitid0000009|mdifffitid0000010|mdifffitid0000024|mdifffitid0000028|mdifffitid0000044|mdifffitid0000046|mimgtblid0000036|mprojectid0000001|mprojectid0000002|mprojectid0000004|mprojectid0000040|mprojectid0000041|mprojectid0000042|mviewerid0000019|mviewerid0000057,0.2,250.184000,1.159671,1.011473,344.126167,0.148200,0.000000,false,0.000000,0,0.574000,"{""bora009"":15,""bora010"":12,""h4d-standard-192-5"":15,""h4d-standard-192-6"":16}","{""bora009"":0.01834,""bora010"":0.021421,""h4d-standard-192-5"":0.003269,""h4d-standard-192-6"":0.003307}"
heft_classic,hybrid_hetero,28,maddid0000037|maddid0000056|mbackgroundid0000013|mbackgroundid0000014|mbackgroundid0000015|mbackgroundid0000016|mbackgroundid0000032|mbackgroundid0000035|mbackgroundid0000053|mbackgroundid0000054|mbgmodelid0000012|mbgmodelid0000050|mconcatfitid0000030|mdifffitid0000005|mdifffitid0000009|mdifffitid0000010|mdifffitid0000024|mdifffitid0000028|mdifffitid0000044|mdifffitid0000046|mimgtblid0000036|mprojectid0000001|mprojectid0000002|mprojectid0000004|mprojectid0000040|mprojectid0000041|mprojectid0000042|mviewerid0000019|mviewerid0000057,0.2,286.367000,1.048103,1.011473,344.126167,0.036600,0.000000,false,0.000000,0,0.563000,"{""bora011"":15,""diablo03"":14,""h3-standard-88-2"":13,""h4d-standard-192-7"":16}","{""bora011"":0.02018,""diablo03"":0.010975,""h3-standard-88-2"":0.008461,""h4d-standard-192-7"":0.003516}"
heft_classic,cluster_homo,29,maddid0000037|maddid0000056|mbackgroundid0000013|mbackgroundid0000016|mbackgroundid0000033|mbgmodelid0000050|mconcatfitid0000011|mconcatfitid0000049|mdifffitid0000006|mdifffitid0000007|mdifffitid0000008|mdifffitid0000009|mdifffitid0000010|mdifffitid0000024|mdifffitid0000025|mdifffitid0000027|mdifffitid0000028|mdifffitid0000029|mdifffitid0000044|mdifffitid0000047|mimgtblid0000017|mprojectid0000001|mprojectid0000003|mprojectid0000020|mprojectid0000039|mprojectid0000040|mprojectid0000042|mviewerid0000019|mviewerid0000038,0.2,538.100000,0.000000,1.011473,344.126167,0.000000,193.974000,false,0.000000,0,0.457000,"{""bora001"":14,""bora002"":16,""bora003"":14,""bora004"":14}","{""bora001"":0.023954,""bora002"":0.024188,""bora003"":0.023771,""bora004"":0.024001}"
heft_classic,cluster_hetero,29,maddid0000037|maddid0000056|mbackgroundid0000013|mbackgroundid0000016|mbackgroundid0000033|mbgmodelid0000050|mconcatfitid0000011|mconcatfitid0000049|mdifffitid0000006|mdifffitid0000007|mdifffitid0000008|mdifffitid0000009|mdifffitid0000010|mdifffitid0000024|mdifffitid0000025|mdifffitid0000027|mdifffitid0000028|mdifffitid0000029|mdifffitid0000044|mdifffitid0000047|mimgtblid0000017|mprojectid0000001|mprojectid0000003|mprojectid0000020|mprojectid0000039|mprojectid0000040|mprojectid0000042|mviewerid0000019|mviewerid0000038,0.2,591.999000,0.000000,1.011473,344.126167,0.000000,247.873000,false,0.000000,0,0.429000,"{""bora005"":15,""bora006"":16,""diablo01"":12,""diablo02"":15}","{""bora005"":0.02398,""bora006"":0.023905,""diablo01"":0.013673,""diablo02"":0.013849}"
heft_classic,cloud_homo,29,maddid0000037|maddid0000056|mbackgroundid0000013|mbackgroundid0000016|mbackgroundid0000033|mbgmodelid0000050|mconcatfitid0000011|mconcatfitid0000049|mdifffitid0000006|mdifffitid0000007|mdifffitid0000008|mdifffitid0000009|mdifffitid0000010|mdifffitid0000024|mdifffitid0000025|mdifffitid0000027|mdifffitid0000028|mdifffitid0000029|mdifffitid0000044|mdifffitid0000047|mimgtblid0000017|mprojectid0000001|mprojectid0000003|mprojectid0000020|mprojectid0000039|mprojectid0000040|mprojectid0000042|mviewerid0000019|mviewerid0000038,0.2,183.590000,1.910549,1.011473,344.126167,0.899100,0.000000,false,0.000000,0,0.710000,"{""h4d-standard-192-1"":14,""h4d-standard-192-2"":15,""h4d-standard-192-3"":15,""h4d-standard-192-4"":14}","{""h4d-standard-192-1"":0.002813,""h4d-standard-192-2"":0.002861,""h4d-standard-192-3"":0.002966,""h4d-standard-192-4"":0.002918}"
heft_classic,cloud_hetero,29,maddid0000037|maddid0000056|mbackgroundid0000013|mbackgroundid0000016|mbackgroundid0000033|mbgmodelid0000050|mconcatfitid0000011|mconcatfitid0000049|mdifffitid0000006|mdifffitid0000007|mdifffitid0000008|mdifffitid0000009|mdifffitid0000010|mdifffitid0000024|mdifffitid0000025|mdifffitid0000027|mdifffitid0000028|mdifffitid0000029|mdifffitid0000044|mdifffitid0000047|mimgtblid0000017|mprojectid0000001|mprojectid0000003|mprojectid0000020|mprojectid0000039|mprojectid0000040|mprojectid0000042|mviewerid0000019|mviewerid0000038,0.2,214.517000,1.950512,1.011473,344.126167,0.939000,0.000000,false,0.000000,0,0.669000,"{""h3-standard-88-1"":13,""h3-standard-88-2"":13,""h4d-highmem-192-1"":16,""h4d-standard-192-1"":16}","{""h3-standard-88-1"":0.006905,""h3-standard-88-2"":0.00684,""h4d-highmem-192-1"":0.00313,""h4d-standard-192-1"":0.003265}"
heft_classic,hybrid_homo,29,maddid0000037|maddid0000056|mbackgroundid0000013|mbackgroundid0000016|mbackgroundid0000033|mbgmodelid0000050|mconcatfitid0000011|mconcatfitid0000049|mdifffitid0000006|mdifffitid0000007|mdifffitid0000008|mdifffitid0000009|mdifffitid0000010|mdifffitid0000024|mdifffitid0000025|mdifffitid0000027|mdifffitid0000028|mdifffitid0000029|mdifffitid0000044|mdifffitid0000047|mimgtblid0000017|mprojectid0000001|mprojectid0000003|mprojectid0000020|mprojectid0000039|mprojectid0000040|mprojectid0000042|mviewerid0000019|mviewerid0000038,0.2,250.184000,1.159671,1.011473,344.126167,0.148200,0.000000,false,0.000000,0,0.567000,"{""bora009"":15,""bora010"":12,""h4d-standard-192-5"":15,""h4d-standard-192-6"":16}","{""bora009"":0.01834,""bora010"":0.021421,""h4d-standard-192-5"":0.003269,""h4d-standard-192-6"":0.003307}"
